GemSchlNr,WpNr,Gemeinde_Gemeindeteile,Landkreis,Verbandsgemeinde,PLZ
11100000,2102,Königsbach,,,
11100000,2103,Siechhaustal,,,
11100000,2200,Wallersheim,,,
13100007,,"Bad Neuenahr-Ahrweiler, Stadt",Ahrweiler,,53474
13100007,0100,Ahrweiler (Ortsbezirk) ,Ahrweiler,,
13100007,0101,Altenwegshof,Ahrweiler,,
13100007,0102,Am Kaiserstuhl,Ahrweiler,,
13100007,0103,Bachem (Ortsbezirk) ,Ahrweiler,,
13100007,0104,Bunte Kuh,Ahrweiler,,
13100007,0105,Forsthaus Waldwinkel,Ahrweiler,,
13100007,0106,Godeneltern,Ahrweiler,,
13100007,0107,Hohenzollern (Gastst.),Ahrweiler,,
13100007,0108,Hühnerfarm Maibach,Ahrweiler,,
13100007,0109,Kloster Calvarienberg,Ahrweiler,,
13100007,0110,Marienthal,Ahrweiler,,
13100007,0111,Walporzheim (Ortsbezirk),Ahrweiler,,
13100007,0200,Bad Neuenahr (Ortsbezirk),Ahrweiler,,
13100007,0300,Gimmigen (Ortsbezirk),Ahrweiler,,
13100007,0301,Landgut Landskronerhof,Ahrweiler,,
13100007,0400,Heimersheim (Ortsbezirk),Ahrweiler,,
13100007,0401,Apollinarisbrunnen,Ahrweiler,,
13100007,0402,Ehlingen,Ahrweiler,,
13100007,0403,Heppingen (Ortsbezirk),Ahrweiler,,
13100007,0500,Kirchdaun (Ortsbezirk),Ahrweiler,,
13100007,0600,Lohrsdorf (Ortsbezirk),Ahrweiler,,
13100007,0601,Green,Ahrweiler,,
13100007,0602,Landgut Köhlerhof,Ahrweiler,,
13100007,0700,Ramersbach (Ortsbezirk),Ahrweiler,,
13100070,,"Remagen, Stadt",Ahrweiler,,53424
13100070,0100,Bandorf (T.a.Ortsbezirk 3),Ahrweiler,,
13100070,0101,Schmelzmühle,Ahrweiler,,
13100070,0200,Kripp (Ortsbezirk 1),Ahrweiler,,
13100070,0300,Oberwinter (T.a. Ortsbezirk 3),Ahrweiler,,
13100070,0400,Oedingen (Ortsbezirk 4),Ahrweiler,,
13100070,0500,Remagen (Ortsbezirk 2),Ahrweiler,,
13100070,0501,Auf Plattborn,Ahrweiler,,
13100070,0502,Büschmarhof,Ahrweiler,,
13100070,0503,Schloss Calmuth,Ahrweiler,,
13100070,0504,Forsthaus Erlenbusch,Ahrweiler,,
13100070,0505,Frohnhof,Ahrweiler,,
13100070,0506,Haus Ernich,Ahrweiler,,
13100070,0507,Herresberg,Ahrweiler,,
13100070,0508,Hotel Waldburg,Ahrweiler,,
13100070,0509,Hubertushof,Ahrweiler,,
13100070,0510,Kapellenhof,Ahrweiler,,
13100070,0511,Lützelbachhof,Ahrweiler,,
13100070,0512,Oberstental,Ahrweiler,,
13100070,0513,Schloß Marienfels,Ahrweiler,,
13100070,0514,Unkelbrückermühle,Ahrweiler,,
13100070,0515,Waldschlößchen,Ahrweiler,,
13100070,0600,Rolandseck (T.a.Ortsbezirk 3),Ahrweiler,,
13100070,0700,Rolandswerth (Ortsbezirk 5),Ahrweiler,,
13100070,0701,Insel Nonnenwerth,Ahrweiler,,
13100070,0702,Rodderberg,Ahrweiler,,
13100070,0703,Rodderberghof,Ahrweiler,,
13100070,0704,Rolandsbogen,Ahrweiler,,
13100070,0705,Humboldtturm,Ahrweiler,,
13100070,0800,Unkelbach (Ortsbezirk 6),Ahrweiler,,
13100077,,"Sinzig, Stadt",Ahrweiler,,53489
13100077,0100,Bad Bodendorf (Ortsbezirk),Ahrweiler,,
13100077,0200,Franken (Ortsbezirk),Ahrweiler,,
13100077,0201,Marienhof,Ahrweiler,,
13100077,0300,Koisdorf (Ortsbezirk),Ahrweiler,,
13100077,0301,Heinrichshof,Ahrweiler,,
13100077,0302,Wendelinushof,Ahrweiler,,
13100077,0400,Löhndorf (Ortsbezirk),Ahrweiler,,
13100077,0401,Gerhardshof,Ahrweiler,,
13100077,0402,Haus Ahlenforst,Ahrweiler,,
13100077,0403,Ilkenhof,Ahrweiler,,
13100077,0404,Lindenhof,Ahrweiler,,
13100077,0405,Schloß Vehn,Ahrweiler,,
13100077,0500,Sinzig (Ortsbezirk),Ahrweiler,,
13100077,0501,Forsthaus Dachsbach,Ahrweiler,,
13100077,0502,Godenhaus,Ahrweiler,,
13100077,0503,Harbachsmühle,Ahrweiler,,
13100077,0505,Hennes-Schneider-Haus,Ahrweiler,,
13100077,0506,Hombüchel,Ahrweiler,,
13100077,0508,Schloß Ahrental,Ahrweiler,,
13100077,0600,Westum (Ortsbezirk),Ahrweiler,,
13100077,0601,Beuler Hof,Ahrweiler,,
13100077,0602,Nikolaushof,Ahrweiler,,
13100090,,Grafschaft,Ahrweiler,,53501
13100090,0100,Bengen (Ortsbezirk),Ahrweiler,,
13100090,0200,Birresdorf (Ortsbezirk),Ahrweiler,,
13100090,0201,Bentgerhof,Ahrweiler,,
13100090,0202,Paulshof,Ahrweiler,,
13100090,0203,Hof Alte Burg,Ahrweiler,,
13100090,0300,Eckendorf (Ortsbezirk),Ahrweiler,,
13100090,0301,An der Swist,Ahrweiler,,
13100090,0400,Gelsdorf (Ortsbezirk),Ahrweiler,,
13100090,0500,Holzweiler (Ortsbezirk),Ahrweiler,,
13100090,0501,Alteheck,Ahrweiler,,
13100090,0502,Esch,Ahrweiler,,
13100090,0503,Haus Schönberg,Ahrweiler,,
13100090,0504,Mönchescher Hof,Ahrweiler,,
13100090,0600,Karweiler (Ortsbezirk),Ahrweiler,,
13100090,0601,Tornfelderhof,Ahrweiler,,
13100090,0700,Lantershofen (Ortsbezirk),Ahrweiler,,
13100090,0701,Tonwerk,Ahrweiler,,
13100090,0800,Leimersdorf (Ortsbezirk),Ahrweiler,,
13100090,0801,Bartholomäusgrube,Ahrweiler,,
13100090,0802,Niederich,Ahrweiler,,
13100090,0803,Oeverich,Ahrweiler,,
13100090,0804,Beerenhof Schmitt,Ahrweiler,,
13100090,0900,Nierendorf (Ortsbezirk),Ahrweiler,,
13100090,0901,Rischmühle,Ahrweiler,,
13100090,0902,Herrensteiner Mathildenhof,Ahrweiler,,
13100090,1000,Ringen (Ortsbezirk),Ahrweiler,,
13100090,1001,Assbacher Hof,Ahrweiler,,
13100090,1002,Beller,Ahrweiler,,
13100090,1003,Bölingen,Ahrweiler,,
13100090,1004,Graßmühle,Ahrweiler,,
13100090,1100,Vettelhoven (Ortsbezirk),Ahrweiler,,
13100090,1101,Höhenhof,Ahrweiler,,
13101001,,"Adenau, Stadt",Ahrweiler,Adenau,53518
13101001,0100,Adenau,Ahrweiler,Adenau,
13101001,0101,Am Schwallenberg,Ahrweiler,Adenau,
13101001,0200,Breidscheid,Ahrweiler,Adenau,
13101001,0201,Breidscheider-Hof,Ahrweiler,Adenau,
13101001,0202,Exmühle,Ahrweiler,Adenau,
13101001,0203,"In der Leihwiese, Jagdhaus",Ahrweiler,Adenau,
13101004,,Antweiler,Ahrweiler,Adenau,53533
13101004,0101,Alte Burg,Ahrweiler,Adenau,
13101004,0102,Haus Ginsterberg,Ahrweiler,Adenau,
13101005,,Aremberg,Ahrweiler,Adenau,53533
13101005,0101,Forsthaus Gierscheid,Ahrweiler,Adenau,
13101005,0102,Landgut Kapellenberg,Ahrweiler,Adenau,
13101005,0103,Lenzenhof,Ahrweiler,Adenau,
13101008,,Barweiler,Ahrweiler,Adenau,53534
13101008,0101,Barweilermühle,Ahrweiler,Adenau,
13101008,0102,Kottenbornermühle,Ahrweiler,Adenau,
13101009,,Bauler,Ahrweiler,Adenau,53534
13101015,,Dankerath,Ahrweiler,Adenau,53520
13101018,,Dorsel,Ahrweiler,Adenau,53533
13101018,0101,Dorselermühle,Ahrweiler,Adenau,
13101018,0102,Heidehöfe,Ahrweiler,Adenau,
13101018,0103,Jagdhäuser,Ahrweiler,Adenau,
13101018,0104,Stahlhütte,Ahrweiler,Adenau,
13101021,,Eichenbach,Ahrweiler,Adenau,53533
13101021,0101,Frohnhofen,Ahrweiler,Adenau,
13101022,,Fuchshofen,Ahrweiler,Adenau,53533
13101026,,Harscheid,Ahrweiler,Adenau,53520
13101026,0101,Am Steinkreuz,Ahrweiler,Adenau,
13101028,,Herschbroich,Ahrweiler,Adenau,53518
13101028,0101,Alte Burg,Ahrweiler,Adenau,
13101028,0102,Haus Brigitte,Ahrweiler,Adenau,
13101030,,Hoffeld,Ahrweiler,Adenau,53534
13101030,0101,Waldhof,Ahrweiler,Adenau,
13101032,,Honerath,Ahrweiler,Adenau,53518
13101032,0101,Am Ackerbusch,Ahrweiler,Adenau,
13101032,0102,Donatushof,Ahrweiler,Adenau,
13101033,,Hümmel,Ahrweiler,Adenau,53520
13101033,0100,Blindert,Ahrweiler,Adenau,
13101033,0101,Bröhlingen,Ahrweiler,Adenau,
13101033,0102,Marthel,Ahrweiler,Adenau,
13101033,0200,Hümmel,Ahrweiler,Adenau,
13101033,0201,Burscheid,Ahrweiler,Adenau,
13101033,0202,Falkenberg,Ahrweiler,Adenau,
13101033,0203,Hümmeler Mühle,Ahrweiler,Adenau,
13101033,0300,Pitscheid,Ahrweiler,Adenau,
13101033,0301,Heistert,Ahrweiler,Adenau,
13101034,,Insul,Ahrweiler,Adenau,53520
13101037,,Kaltenborn,Ahrweiler,Adenau,53520
13101037,0100,Jammelshofen,Ahrweiler,Adenau,
13101037,0101,"Hohe Acht, Hotel",Ahrweiler,Adenau,
13101037,0200,Kaltenborn,Ahrweiler,Adenau,
13101037,0201,Herschbach,Ahrweiler,Adenau,
13101037,0202,Hochacht,Ahrweiler,Adenau,
13101037,0203,Mühlenhof,Ahrweiler,Adenau,
13101037,0204,Hof vor Sayen,Ahrweiler,Adenau,
13101042,,Kottenborn,Ahrweiler,Adenau,53518
13101042,0101,Unter dem Acker,Ahrweiler,Adenau,
13101044,,Leimbach,Ahrweiler,Adenau,53518
13101044,0100,Gilgenbach,Ahrweiler,Adenau,
13101044,0101,Adorferhof,Ahrweiler,Adenau,
13101044,0200,Leimbach,Ahrweiler,Adenau,
13101044,0201,Birnbachsmühle,Ahrweiler,Adenau,
13101044,0202,Waldsiedlung,Ahrweiler,Adenau,
13101050,,Meuspath,Ahrweiler,Adenau,53520
13101050,0101,Balkhausen,Ahrweiler,Adenau,
13101050,0102,In der Stroth,Ahrweiler,Adenau,
13101050,0103,Landgut Krebsbacherhof,Ahrweiler,Adenau,
13101051,,Müllenbach,Ahrweiler,Adenau,53520
13101051,0101,Grube Rosalia,Ahrweiler,Adenau,
13101051,0102,Heupenmühle,Ahrweiler,Adenau,
13101052,,Müsch,Ahrweiler,Adenau,53533
13101058,,Nürburg,Ahrweiler,Adenau,53520
13101058,0101,Am Reckberg,Ahrweiler,Adenau,
13101058,0102,Balkhausen,Ahrweiler,Adenau,
13101062,,Ohlenhard,Ahrweiler,Adenau,53520
13101062,0101,Johannishof,Ahrweiler,Adenau,
13101065,,Pomster,Ahrweiler,Adenau,53534
13101065,0101,Haus im Suhr,Ahrweiler,Adenau,
13101065,0102,Kirmutscheidermühle,Ahrweiler,Adenau,
13101065,0103,Steinbächerhof,Ahrweiler,Adenau,
13101066,,Quiddelbach,Ahrweiler,Adenau,53518
13101066,0101,"Quiddelbacher Höhe, Gastst.",Ahrweiler,Adenau,
13101069,,Reifferscheid,Ahrweiler,Adenau,53520
13101072,,Rodder,Ahrweiler,Adenau,53520
13101072,0101,Waldhof,Ahrweiler,Adenau,
13101074,,Schuld,Ahrweiler,Adenau,53520
13101075,,Senscheid,Ahrweiler,Adenau,53520
13101076,,Sierscheid,Ahrweiler,Adenau,53520
13101079,,Trierscheid,Ahrweiler,Adenau,53520
13101082,,Wershofen,Ahrweiler,Adenau,53520
13101082,0101,Daubiansmühle,Ahrweiler,Adenau,
13101082,0102,Kottenbornerhof,Ahrweiler,Adenau,
13101082,0103,Laufenbacherhof,Ahrweiler,Adenau,
13101082,0104,Wennefeldermühle,Ahrweiler,Adenau,
13101083,,Wiesemscheid,Ahrweiler,Adenau,53534
13101083,0101,"Schullandheim, Kinderheim",Ahrweiler,Adenau,
13101084,,Wimbach,Ahrweiler,Adenau,53518
13101084,0101,In der Wirft,Ahrweiler,Adenau,
13101085,,Winnerath,Ahrweiler,Adenau,53520
13101085,0101,Streitenau,Ahrweiler,Adenau,
13101086,,Wirft,Ahrweiler,Adenau,53534
13101086,0101,Dreimüllerhof,Ahrweiler,Adenau,
13101086,0102,Kirmutscheid,Ahrweiler,Adenau,
13101501,,Dümpelfeld,Ahrweiler,Adenau,53520
13101501,0100,Dümpelfeld,Ahrweiler,Adenau,
13101501,0101,Hahnensteinermühle,Ahrweiler,Adenau,
13101501,0200,Lückenbach (Ortsbezirk),Ahrweiler,Adenau,
13101501,0300,Niederadenau (Ortsbezirk),Ahrweiler,Adenau,
13102002,,Ahrbrück,Ahrweiler,Altenahr,53506
13102002,0100,Ahrbrück,Ahrweiler,Altenahr,
13102002,0200,Brück,Ahrweiler,Altenahr,
13102002,0300,Pützfeld,Ahrweiler,Altenahr,
13102002,0301,An der Pützfelder Kapelle,Ahrweiler,Altenahr,
13102002,0302,Im Ahrbogen,Ahrweiler,Altenahr,
13102003,,Altenahr,Ahrweiler,Altenahr,53505
13102003,0100,Altenahr,Ahrweiler,Altenahr,
13102003,0101,Altenburg,Ahrweiler,Altenahr,
13102003,0102,Am Bergwerk,Ahrweiler,Altenahr,
13102003,0103,Burtscheiderhof,Ahrweiler,Altenahr,
13102003,0104,Haus Sonnenschein,Ahrweiler,Altenahr,
13102003,0105,Kalenbornerhöhe,Ahrweiler,Altenahr,
13102003,0106,Rangshof,Ahrweiler,Altenahr,
13102003,0107,Reimerzhoven,Ahrweiler,Altenahr,
13102003,0108,Siedlung,Ahrweiler,Altenahr,
13102003,0200,Kreuzberg (Ortsbezirk),Ahrweiler,Altenahr,
13102003,0201,Bachmühle,Ahrweiler,Altenahr,
13102011,,Berg,Ahrweiler,Altenahr,53505
13102011,0101,Forsthaus Vilma Höhe,Ahrweiler,Altenahr,
13102011,0102,Freisheim,Ahrweiler,Altenahr,
13102011,0103,Häselingen,Ahrweiler,Altenahr,
13102011,0104,Ober-Krälingen,Ahrweiler,Altenahr,
13102011,0105,Unter-Krälingen,Ahrweiler,Altenahr,
13102011,0106,Vellen,Ahrweiler,Altenahr,
13102011,0107,Vischel,Ahrweiler,Altenahr,
13102011,0108,Weißerath,Ahrweiler,Altenahr,
13102017,,Dernau,Ahrweiler,Altenahr,53507
13102017,0101,Im Hummeltal,Ahrweiler,Altenahr,
13102017,0102,Marienthal,Ahrweiler,Altenahr,
13102017,0103,Steinbergsmühle,Ahrweiler,Altenahr,
13102027,,Heckenbach,Ahrweiler,Altenahr,53506
13102027,0101,Beilstein,Ahrweiler,Altenahr,
13102027,0102,Blasweiler,Ahrweiler,Altenahr,
13102027,0103,Cassel,Ahrweiler,Altenahr,
13102027,0104,Forsthaus Langhardt,Ahrweiler,Altenahr,
13102027,0105,Frankenau,Ahrweiler,Altenahr,
13102027,0106,Fronrath,Ahrweiler,Altenahr,
13102027,0107,Niederheckenbach,Ahrweiler,Altenahr,
13102027,0108,Oberheckenbach,Ahrweiler,Altenahr,
13102027,0109,Watzel,Ahrweiler,Altenahr,
13102029,,Hönningen,Ahrweiler,Altenahr,53506
13102029,0100,Hönningen,Ahrweiler,Altenahr,
13102029,0101,Liersbachtal,Ahrweiler,Altenahr,
13102029,0200,Liers,Ahrweiler,Altenahr,
13102036,,Kalenborn,Ahrweiler,Altenahr,53505
13102036,0101,Kalenbornerhöhe,Ahrweiler,Altenahr,
13102039,,Kesseling,Ahrweiler,Altenahr,53506
13102039,0100,Kesseling,Ahrweiler,Altenahr,
13102039,0101,Steinerberghütte,Ahrweiler,Altenahr,
13102039,0102,Thomich,Ahrweiler,Altenahr,
13102039,0103,Weidenbach,Ahrweiler,Altenahr,
13102039,0200,Staffel,Ahrweiler,Altenahr,
13102039,0201,Haus Sonnenhard,Ahrweiler,Altenahr,
13102040,,Kirchsahr,Ahrweiler,Altenahr,53505
13102040,0101,Binzenbach,Ahrweiler,Altenahr,
13102040,0102,Burgsahr,Ahrweiler,Altenahr,
13102040,0103,Hürnig,Ahrweiler,Altenahr,
13102040,0104,Winnen,Ahrweiler,Altenahr,
13102047,,Lind,Ahrweiler,Altenahr,53506
13102047,0100,Lind,Ahrweiler,Altenahr,
13102047,0200,Obliers,Ahrweiler,Altenahr,
13102047,0201,Laubachshof,Ahrweiler,Altenahr,
13102047,0300,Plittersdorf,Ahrweiler,Altenahr,
13102049,,Mayschoß,Ahrweiler,Altenahr,53508
13102049,0101,Bahnhof Mayschoß,Ahrweiler,Altenahr,
13102049,0102,Bergischer Hof,Ahrweiler,Altenahr,
13102049,0103,Laach,Ahrweiler,Altenahr,
13102049,0104,Lochmühle,Ahrweiler,Altenahr,
13102068,,Rech,Ahrweiler,Altenahr,53506
13103006,,"Bad Breisig, Stadt",Ahrweiler,Bad Breisig,53498
13103006,0100,Niederbreisig,Ahrweiler,Bad Breisig,
13103006,0101,Auf dem Hohen Rech,Ahrweiler,Bad Breisig,
13103006,0102,An der Glasfabrik,Ahrweiler,Bad Breisig,
13103006,0103,Haus Mohr,Ahrweiler,Bad Breisig,
13103006,0104,Kesselberg,Ahrweiler,Bad Breisig,
13103006,0106,Wohnplatz Weiler,Ahrweiler,Bad Breisig,
13103006,0107,Haus Rabenkopf,Ahrweiler,Bad Breisig,
13103006,0108,Goldene Meile,Ahrweiler,Bad Breisig,
13103006,0200,Oberbreisig,Ahrweiler,Bad Breisig,
13103006,0201,Heiligental,Ahrweiler,Bad Breisig,
13103006,0202,Lieshof,Ahrweiler,Bad Breisig,
13103006,0203,Mönchsheide,Ahrweiler,Bad Breisig,
13103006,0204,Auf Wallers,Ahrweiler,Bad Breisig,
13103006,0205,Josefshof,Ahrweiler,Bad Breisig,
13103006,0300,Rheineck,Ahrweiler,Bad Breisig,
13103006,0301,Burg Rheineck,Ahrweiler,Bad Breisig,
13103006,0302,Waldgut Rheineck,Ahrweiler,Bad Breisig,
13103014,,Brohl-Lützing,Ahrweiler,Bad Breisig,56656
13103014,0101,Auf dem Eichholz (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103014,0102,Haus Drei Birken (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103014,0103,Haus Netz (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103014,0104,Netzermühle (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103014,0105,Schloß Brohleck (ehem. Gem. Brohl),Ahrweiler,Bad Breisig,
13103014,0106,Schweppenburg (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103014,0107,Waldesruh (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103014,0108,Zerwasmühle (ehem. Gem. Niederlützingen),Ahrweiler,Bad Breisig,
13103025,,Gönnersdorf,Ahrweiler,Bad Breisig,53498
13103025,0101,Frauenbergerhof,Ahrweiler,Bad Breisig,
13103025,0103,Martinshof,Ahrweiler,Bad Breisig,
13103025,0104,Eichenhof,Ahrweiler,Bad Breisig,
13103081,,Waldorf,Ahrweiler,Bad Breisig,53498
13103081,0101,Adamsmühle,Ahrweiler,Bad Breisig,
13103081,0102,Berghotel Iwelstein,Ahrweiler,Bad Breisig,
13103081,0103,Marienhöhe,Ahrweiler,Bad Breisig,
13103081,0104,Ockenfelsmühle,Ahrweiler,Bad Breisig,
13104016,,Dedenbach,Ahrweiler,Brohltal,53426
13104041,,Königsfeld,Ahrweiler,Brohltal,53426
13104041,0101,Landgut Leyerhof,Ahrweiler,Brohltal,
13104041,0102,Ölmühle,Ahrweiler,Brohltal,
13104054,,Niederdürenbach,Ahrweiler,Brohltal,56651
13104054,0101,Hain,Ahrweiler,Brohltal,
13104054,0102,Lochmühle,Ahrweiler,Brohltal,
13104054,0103,Niederdürenbach-Holzwiesen,Ahrweiler,Brohltal,
13104055,,Niederzissen,Ahrweiler,Brohltal,56651
13104055,0101,Haus Waldfrieden,Ahrweiler,Brohltal,
13104055,0102,Kurheim Bausenberg,Ahrweiler,Brohltal,
13104055,0103,Rodder (ehem.Gem.Niederdürenbach),Ahrweiler,Brohltal,
13104059,,Oberdürenbach,Ahrweiler,Brohltal,56651
13104059,0101,Am Fuchskopf,Ahrweiler,Brohltal,
13104059,0102,Büschhöfe,Ahrweiler,Brohltal,
13104059,0103,Landgut Stockhof,Ahrweiler,Brohltal,
13104059,0104,Schelborn,Ahrweiler,Brohltal,
13104060,,Oberzissen,Ahrweiler,Brohltal,56651
13104060,0101,Margaretenhof,Ahrweiler,Brohltal,
13104073,,Schalkenbach,Ahrweiler,Brohltal,53426
13104073,0101,Landgut Schirmau,Ahrweiler,Brohltal,
13104073,0102,Mittelvinxt,Ahrweiler,Brohltal,
13104073,0103,Obervinxt,Ahrweiler,Brohltal,
13104073,0104,Untervinxt,Ahrweiler,Brohltal,
13104201,,Brenk,Ahrweiler,Brohltal,56651
13104201,0101,Fußhölle,Ahrweiler,Brohltal,
13104202,,Burgbrohl,Ahrweiler,Brohltal,56659
13104202,0100,Burgbrohl,Ahrweiler,Brohltal,
13104202,0101,Bad Tönisstein,Ahrweiler,Brohltal,
13104202,0103,Nonnsmühle,Ahrweiler,Brohltal,
13104202,0104,Schierbergsmühle,Ahrweiler,Brohltal,
13104202,0200,Lützingen,Ahrweiler,Brohltal,
13104202,0201,Haus Herchenberg,Ahrweiler,Brohltal,
13104202,0300,Weiler,Ahrweiler,Brohltal,
13104202,0301,Am Wingertsberg,Ahrweiler,Brohltal,
13104202,0302,Beunerhof,Ahrweiler,Brohltal,
13104202,0303,Buchholz,Ahrweiler,Brohltal,
13104202,0304,Buchholzer Mühle,Ahrweiler,Brohltal,
13104202,0305,Neubuchholz,Ahrweiler,Brohltal,
13104204,,Galenberg,Ahrweiler,Brohltal,56651
13104205,,Glees,Ahrweiler,Brohltal,56653
13104205,0101,Maria Laach,Ahrweiler,Brohltal,
13104206,,Hohenleimbach,Ahrweiler,Brohltal,56746
13104206,0101,Alexanderhof,Ahrweiler,Brohltal,
13104206,0102,Lederbach,Ahrweiler,Brohltal,
13104208,,Spessart,Ahrweiler,Brohltal,56746
13104208,0101,Hannebach,Ahrweiler,Brohltal,
13104208,0102,Heulingshof,Ahrweiler,Brohltal,
13104208,0103,Wollscheid,Ahrweiler,Brohltal,
13104209,,Wassenach,Ahrweiler,Brohltal,56653
13104209,0101,"Degensmühle, Wassenacher Mühle",Ahrweiler,Brohltal,
13104210,,Wehr,Ahrweiler,Brohltal,56653
13104210,0101,Steinbergerhof,Ahrweiler,Brohltal,
13104210,0102,Welschwiesenmühle,Ahrweiler,Brohltal,
13104211,,Weibern,Ahrweiler,Brohltal,56745
13104211,0102,Wabern,Ahrweiler,Brohltal,
13104211,0103,Weiberner Mühle,Ahrweiler,Brohltal,
13104502,,Kempenich,Ahrweiler,Brohltal,56746
13104502,0100,Engeln (Ortsbezirk),Ahrweiler,Brohltal,
13104502,0101,Appentalerhof,Ahrweiler,Brohltal,
13104502,0102,Buchhof,Ahrweiler,Brohltal,
13104502,0200,Kempenich,Ahrweiler,Brohltal,
13104502,0201,"Burg Kempenich, Villa",Ahrweiler,Brohltal,
13104502,0202,Heidnerhof,Ahrweiler,Brohltal,
13104502,0203,Hommeshof,Ahrweiler,Brohltal,
13104502,0204,Kreuzwäldchen,Ahrweiler,Brohltal,
13104502,0205,Lärchenhof,Ahrweiler,Brohltal,
13104502,0206,Rottlandhöfe,Ahrweiler,Brohltal,
13104502,0207,Stefanshof,Ahrweiler,Brohltal,
13203018,,"Daaden, Stadt",Altenkirchen(Ww),Daaden-Herdorf,57567
13203018,0100,Biersdorf,Altenkirchen(Ww),Daaden-Herdorf,
13203018,0200,Daaden,Altenkirchen(Ww),Daaden-Herdorf,
13203018,0201,Silberberg,Altenkirchen(Ww),Daaden-Herdorf,
13203019,,Derschen,Altenkirchen(Ww),Daaden-Herdorf,57520
13203026,,Emmerzhausen,Altenkirchen(Ww),Daaden-Herdorf,57520
13203026,0101,Im Seltersberg,Altenkirchen(Ww),Daaden-Herdorf,
13203026,0102,Stegskopf,Altenkirchen(Ww),Daaden-Herdorf,
13203036,,Friedewald,Altenkirchen(Ww),Daaden-Herdorf,57520
13203036,0101,Forsthaus Friedewald,Altenkirchen(Ww),Daaden-Herdorf,
13203050,,"Herdorf, Stadt",Altenkirchen(Ww),Daaden-Herdorf,57562
13203050,0100,Dermbach (Ortsbezirk),Altenkirchen(Ww),Daaden-Herdorf,
13203050,0200,Herdorf,Altenkirchen(Ww),Daaden-Herdorf,
13203050,0300,Sassenroth (Ortsbezirk),Altenkirchen(Ww),Daaden-Herdorf,
13203068,,Mauden,Altenkirchen(Ww),Daaden-Herdorf,57520
13203075,,Niederdreisbach,Altenkirchen(Ww),Daaden-Herdorf,57520
13203079,,Nisterberg,Altenkirchen(Ww),Daaden-Herdorf,56472
13203101,,Schutzbach,Altenkirchen(Ww),Daaden-Herdorf,57520
13203113,,Weitefeld,Altenkirchen(Ww),Daaden-Herdorf,57586
13203113,0100,Oberdreisbach,Altenkirchen(Ww),Daaden-Herdorf,
13203113,0200,Weitefeld,Altenkirchen(Ww),Daaden-Herdorf,
13203113,0201,Vor dem See,Altenkirchen(Ww),Daaden-Herdorf,
13203113,0202,Waldhaus,Altenkirchen(Ww),Daaden-Herdorf,
13206007,,Birkenbeul,Altenkirchen(Ww),Hamm(Sieg),57589
13206007,0101,Kratzhahn,Altenkirchen(Ww),Hamm(Sieg),
13206007,0102,Pfaffenseifen,Altenkirchen(Ww),Hamm(Sieg),
13206007,0103,Weißenbrüchen,Altenkirchen(Ww),Hamm(Sieg),
13206010,,Bitzen,Altenkirchen(Ww),Hamm(Sieg),57539
